ID SCAFFOLD PROPERTY #GEN_TOTAL #GEN_OVERLAP AVGDIFF
STOCK1S-09477 C1=Cc2cccc(C(c3ccccc3)(c3ccccc3)c3ccccc3)c2NC1 6.508 30 3 0.706
STOCK1S-09526 c1ccc(-c2ccc(Oc3ccc4noc(-c5ccccc5)c4c3)cc2)cc1 6.954 30 18 0.452
STOCK1S-10077 C(=N/Nc1nc2ccccc2n1Cc1ccccc1)\N=N\c1nc2ccccc2n1Cc1ccccc1 6.622 25 2 0.727
STOCK1S-10108 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 30 15 0.831
STOCK1S-10129 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 29 13 0.744
STOCK1S-10169 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 30 15 0.716
STOCK1S-10353 c1ccc(-c2ccc(C3=NN(c4ccccc4)C(c4ccco4)C3)cc2)cc1 6.302 30 0 1.126
STOCK1S-10359 c1ccc2c(NCCCn3c4ccccc4c4ccccc43)cccc2c1 6.450 26 3 0.5
STOCK1S-10406 O=C1C(=Cc2ccc(N3N=C(c4ccccc4)CC3c3ccccc3)cc2)C(=O)c2ccccc21 6.505 29 0 0.525
STOCK1S-10582 O=C(c1ccc(-c2ccccc2)cc1)N1CCC(c2ccccc2)c2ccccc21 6.536 30 0 0.42
STOCK1S-10646 c1ccc(C2=NN(c3ccccc3)C(c3ccc(-c4ccccc4)cc3)C2)cc1 6.709 30 0 0.973
STOCK1S-10917 C(=N/c1ccc2ccccc2c1)\c1ccc(-c2ccccc2)cc1 6.257 27 20 0.698
STOCK1S-10949 O=C1c2ccccc2-c2c1c(-c1ccccc1)nc1ccc3ccccc3c21 6.266 30 17 1.353
STOCK1S-11250 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 30 13 0.823
STOCK1S-11294 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 30 16 0.867
STOCK1S-11552 O=C1c2ccccc2C(=O)c2c1c(-c1ccccc1)n(-c1ccccc1)c2-c1ccccc1 6.587 30 13 0.662
STOCK1S-11621 O=c1c2ccccc2nc(/C=C/c2cn(Cc3ccccc3)c3ccccc23)n1-c1ccccc1 6.559 29 7 0.622
STOCK1S-11636 O=c1c2ccccc2nc(/C=C/c2cn(Cc3ccccc3)c3ccccc23)n1-c1ccccc1 6.559 29 6 0.461
STOCK1S-11697 O=C(Nc1c2c(nc3ccccc13)N(c1ccccc1)CC2)C12CC3CC(CC(C3)C1)C2 6.084 27 3 0.347
STOCK1S-11703 c1cc(Oc2ccc(-n3cccc3)cc2)cc(Oc2ccc(-n3cccc3)cc2)c1 6.853 19 7 0.609
